product_id,category,price,base_return_rate
PROD_000000,Books,220.49329302004764,0.08
PROD_000001,Fashion,483.89362397362373,0.15
PROD_000002,Automotive,362.4886672000654,0.08
PROD_000003,Fashion,403.33964570652165,0.15
PROD_000004,Electronics,350.0924002915754,0.08
PROD_000005,Sports,100.37376330925797,0.08
PROD_000006,Toys,239.39793980406762,0.08
PROD_000007,Toys,175.5925969076471,0.08
PROD_000008,Books,74.51045453553478,0.08
PROD_000009,Automotive,167.68201502352792,0.08
PROD_000010,Health,411.13681687575456,0.08
PROD_000011,Home & Garden,492.9958822635468,0.08
PROD_000012,Jewelry,175.89917309213857,0.15
PROD_000013,Jewelry,109.06697118480083,0.15
PROD_000014,Toys,490.4121021621934,0.08
PROD_000015,Sports,262.8870402043325,0.08
PROD_000016,Sports,330.7771088117156,0.08
PROD_000017,Books,403.10644859269576,0.08
PROD_000018,Home & Garden,389.8725785348514,0.08
PROD_000019,Automotive,318.13911556030394,0.08
PROD_000020,Fashion,250.61309877829922,0.15
PROD_000021,Sports,16.11592680697423,0.08
PROD_000022,Sports,485.8053324299923,0.08
PROD_000023,Jewelry,377.1365738602074,0.15
PROD_000024,Jewelry,276.96321441162996,0.15
PROD_000025,Home & Garden,163.31009973065204,0.08
PROD_000026,Beauty,430.746694306036,0.08
PROD_000027,Sports,254.46892703785534,0.08
PROD_000028,Books,439.58718728025485,0.08
PROD_000029,Health,152.26526805000566,0.08
PROD_000030,Electronics,137.95520901475658,0.08
PROD_000031,Sports,22.650604957592442,0.08
PROD_000032,Beauty,446.48443070561257,0.08
PROD_000033,Fashion,180.75611952196292,0.15
PROD_000034,Beauty,34.65324980248584,0.08
PROD_000035,Fashion,75.41210423736142,0.15
PROD_000036,Health,327.3581318856002,0.08
PROD_000037,Automotive,287.9309444701091,0.08
PROD_000038,Health,217.92324915282762,0.08
PROD_000039,Health,393.3715468470338,0.08
PROD_000040,Beauty,113.31084806966987,0.08
PROD_000041,Sports,187.86613996741298,0.08
PROD_000042,Jewelry,143.14292688910376,0.15
PROD_000043,Sports,124.32478514115964,0.08
PROD_000044,Home & Garden,122.66459101695096,0.08
PROD_000045,Sports,193.43954733783264,0.08
PROD_000046,Home & Garden,424.0471685896799,0.08
PROD_000047,Sports,371.526246543107,0.08
PROD_000048,Books,330.1809316615781,0.08
PROD_000049,Health,415.35053523805857,0.08
PROD_000050,Electronics,71.24700444552042,0.08
PROD_000051,Health,134.38318261483408,0.08
PROD_000052,Automotive,157.09152698457066,0.08
PROD_000053,Books,466.66787742703275,0.08
PROD_000054,Home & Garden,242.68474551972386,0.08
PROD_000055,Home & Garden,70.19967751019223,0.08
PROD_000056,Electronics,196.82332097153534,0.08
PROD_000057,Books,81.96629130938842,0.08
PROD_000058,Toys,84.33392160667803,0.08
PROD_000059,Electronics,156.10941847177682,0.08
PROD_000060,Fashion,217.31741942094015,0.15
PROD_000061,Books,95.65751607380537,0.08
PROD_000062,Toys,364.7997743808412,0.08
PROD_000063,Health,441.6239718275083,0.08
PROD_000064,Fashion,103.80033376766593,0.15
PROD_000065,Electronics,373.56820644050316,0.08
PROD_000066,Fashion,466.4825597693204,0.15
PROD_000067,Books,11.699852267930451,0.08
PROD_000068,Electronics,341.96802206209964,0.08
PROD_000069,Automotive,241.4287299023724,0.08
PROD_000070,Books,275.8688014067599,0.08
PROD_000071,Automotive,450.28438882854226,0.08
PROD_000072,Electronics,84.22205398862661,0.08
PROD_000073,Jewelry,299.9206763943153,0.15
PROD_000074,Sports,273.47117601237113,0.08
PROD_000075,Toys,204.2363486183698,0.08
PROD_000076,Electronics,123.03938449866374,0.08
PROD_000077,Toys,200.22371994242997,0.08
PROD_000078,Automotive,428.50404554732825,0.08
PROD_000079,Toys,17.393842375278364,0.08
PROD_000080,Home & Garden,131.92394849904397,0.08
PROD_000081,Beauty,464.10875231573715,0.08
PROD_000082,Jewelry,60.239137322804034,0.15
PROD_000083,Beauty,67.94244260351752,0.08
PROD_000084,Automotive,244.47931014507097,0.08
PROD_000085,Beauty,498.35696446276336,0.08
PROD_000086,Jewelry,378.52499355937323,0.15
PROD_000087,Beauty,358.1901324492627,0.08
PROD_000088,Automotive,112.82341411552322,0.08
